GEOID,COUNTY,POPULATION,POPULATION_BELOW_FPL_125,PERCENT_BELOW_FPL_125
06001,Alameda,1602357,234306,0.1462258410578916
06003,Alpine,1188,271,0.2281144781144781
06005,Amador,33561,4789,0.1426953904830011
06007,Butte,219529,58283,0.26549111962428656
06009,Calaveras,44516,7190,0.1615149609129302
06011,Colusa,21284,4303,0.20217064461567374
06013,Contra Costa,1114128,146369,0.1313753895423147
06015,Del Norte,23970,7130,0.2974551522736754
06017,El Dorado,183319,23727,0.12943011908203733
06019,Fresno,955509,305917,0.3201612962305954
06021,Glenn,27542,6755,0.24526178200566406
06023,Humboldt,132178,36591,0.2768312427181528
06025,Imperial,170001,51860,0.30505702907629956
06027,Inyo,17737,2558,0.14421830072729322
06029,Kern,847040,251901,0.297389733660748
06031,Kings,134201,37663,0.28064619488677434
06033,Lake,63101,18159,0.2877767388789401
06035,Lassen,21550,4021,0.18658932714617169
06037,Los Angeles,9955473,2259471,0.2269576744369655
06039,Madera,146174,42666,0.29188501375073544
06041,Marin,254628,26863,0.10549900246634306
06043,Mariposa,17456,3262,0.1868698441796517
06045,Mendocino,86032,22104,0.25692765482611124
06047,Merced,261023,82838,0.3173590066775725
06049,Modoc,8728,1977,0.22651237396883592
06051,Mono,13943,1854,0.1329699490783906
06053,Monterey,415461,90175,0.21704805023816917
06055,Napa,137415,16921,0.12313793981734163
06057,Nevada,97837,15644,0.15989860686652288
06059,Orange,3118517,500471,0.16048365296709943
06061,Placer,371667,39330,0.10582053289638305
06063,Plumas,18377,3274,0.1781574794580182
06065,Riverside,2319994,480951,0.20730700165603877
06067,Sacramento,1474566,318498,0.21599440106444878
06069,San Benito,58318,8182,0.14029973593058748
06071,San Bernardino,2062499,490798,0.237962782042561
06073,San Diego,3203134,560236,0.17490245490822426
06075,San Francisco,850547,127803,0.15025977400425844
06077,San Joaquin,710481,163003,0.22942626192677917
06079,San Luis Obispo,264128,46296,0.1752786527744124
06081,San Mateo,757264,74535,0.09842670455745949
06083,Santa Barbara,424090,85734,0.20215991888514231
06085,Santa Clara,1881436,216949,0.11531032679293901
06087,Santa Cruz,262304,50484,0.19246370623398804
06089,Shasta,176173,40686,0.2309434476338599
06091,Sierra,2858,517,0.1808957312806158
06093,Siskiyou,43107,11494,0.2666388289604937
06095,Solano,424465,65345,0.1539467329461793
06097,Sonoma,494366,71706,0.14504638263958283
06099,Stanislaus,530072,124065,0.23405310976622043
06101,Sutter,94446,22032,0.2332761578044597
06103,Tehama,62327,17426,0.2795899048566432
06105,Trinity,12811,3435,0.2681289516821482
06107,Tulare,453042,159157,0.351307384304325
06109,Tuolumne,50617,9024,0.1782800244976984
06111,Ventura,836494,120945,0.1445856156768608
06113,Yolo,204615,48465,0.23685946778095449
06115,Yuba,73350,17596,0.23989093387866395
