GEOID,COUNTY,POPULATION,POPULATION_BELOW_FPL_125,PERCENT_BELOW_FPL_125
06001,Alameda,1602357,234306,14.6
06003,Alpine,1188,271,22.8
06005,Amador,33561,4789,14.3
06007,Butte,219529,58283,26.5
06009,Calaveras,44516,7190,16.2
06011,Colusa,21284,4303,20.2
06013,Contra Costa,1114128,146369,13.1
06015,Del Norte,23970,7130,29.7
06017,El Dorado,183319,23727,12.9
06019,Fresno,955509,305917,32
06021,Glenn,27542,6755,24.5
06023,Humboldt,132178,36591,27.7
06025,Imperial,170001,51860,30.5
06027,Inyo,17737,2558,14.4
06029,Kern,847040,251901,29.7
06031,Kings,134201,37663,28.1
06033,Lake,63101,18159,28.8
06035,Lassen,21550,4021,18.7
06037,Los Angeles,9955473,2259471,22.7
06039,Madera,146174,42666,29.2
06041,Marin,254628,26863,10.5
06043,Mariposa,17456,3262,18.7
06045,Mendocino,86032,22104,25.7
06047,Merced,261023,82838,31.7
06049,Modoc,8728,1977,22.7
06051,Mono,13943,1854,13.3
06053,Monterey,415461,90175,21.7
06055,Napa,137415,16921,12.3
06057,Nevada,97837,15644,16
06059,Orange,3118517,500471,16
06061,Placer,371667,39330,10.6
06063,Plumas,18377,3274,17.8
06065,Riverside,2319994,480951,20.7
06067,Sacramento,1474566,318498,21.6
06069,San Benito,58318,8182,14
06071,San Bernardino,2062499,490798,23.8
06073,San Diego,3203134,560236,17.5
06075,San Francisco,850547,127803,15
06077,San Joaquin,710481,163003,22.9
06079,San Luis Obispo,264128,46296,17.5
06081,San Mateo,757264,74535,9.8
06083,Santa Barbara,424090,85734,20.2
06085,Santa Clara,1881436,216949,11.5
06087,Santa Cruz,262304,50484,19.2
06089,Shasta,176173,40686,23.1
06091,Sierra,2858,517,18.1
06093,Siskiyou,43107,11494,26.7
06095,Solano,424465,65345,15.4
06097,Sonoma,494366,71706,14.5
06099,Stanislaus,530072,124065,23.4
06101,Sutter,94446,22032,23.3
06103,Tehama,62327,17426,28
06105,Trinity,12811,3435,26.8
06107,Tulare,453042,159157,35.1
06109,Tuolumne,50617,9024,17.8
06111,Ventura,836494,120945,14.5
06113,Yolo,204615,48465,23.7
06115,Yuba,73350,17596,24
